CoComelon: Season 4;82500000
Suits (2011): Season 3;82500000
Sam & Cat: Season 1;82400000
Gilmore Girls: Season 1;82100000
Sonic Prime: Season 1;82100000
Peppa Pig: Season 1;81800000
Manifest: Season 3;81700000
Roald Dahl's Matilda The Musical;81000000
Better Call Saul: Season 6;80800000
Sing (2016);80500000
Hajime no Ippo: The Fighting!: Season 1 // ??????: ????1;80300000
All Quiet on the Western Front // Im Westen nichts Neues;80000000
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1;79700000
Alpha Males: Season 1 // Machos alfa: Season 1;78200000
Record of Ragnarok: Season 2 // ?????????: ?????;78200000
Chupa;77800000
Stranger Things;77800000
Paw Patrol: The Movie;77200000
Sing 2;76600000
The Crown: Season 5;76300000
Next in Fashion: Season 2;75700000
Gilmore Girls: Season 2;75200000
Lucifer: Season 5;75200000
The Boss Baby;75100000
Treason: Limited Series;74300000
Trolls;73400000
Blood Ties: Season 1 // Las Villamizar: Season 1;73300000
Money Heist: Part 1 // La casa de papel: Parte 1;73100000
Rough Diamonds: Season 1;72800000
Vincenzo: Season 1 // ???: ?? 1;72800000
The Walking Dead: Season 10;72200000
The Witcher: Season 1;72200000
Gabby's Dollhouse: Season 1;71600000
The Walking Dead: Season 3;71600000
Carrossel;71300000
Gilmore Girls: Season 3;71300000
Red Rose: Season 1;71100000
Fauda: Season 4 // ?????: ???? 4;71000000
New Amsterdam (2018): Season 3;70600000
Gilmore Girls: Season 5;69900000
Gilmore Girls: Season 4;69800000
The Blacklist: Season 2;69700000
Divorce Attorney Shin: Limited Series // ???, ??: ???? ???;69500000
Stranger Things 2;69200000
Hometown Cha-Cha-Cha: Season 1 // ??? ???: ?? 1;69000000
Love Is Blind: Season 3;68900000
Kill Boksoon // ???;68500000
The Thundermans: Season 1;68500000
The Flash (2014): Season 1;68200000
Red Notice;68100000
Henry Danger: Season 1;67800000
The Queen of Flow: Season 2 // La reina del flow: Temporada 2;67800000
The Walking Dead: Season 2;67700000
Viking Wolf // Vikingulven;67500000
Designated Survivor: Season 2;67200000
Bebefinn: Season 1;67100000
Hotel Transylvania 2;67000000
Stranger Things 3;67000000
Masha and the Bear: Season 1;66700000
Outlander: Season 1;66500000
Grizzy and the Lemmings: Season 2;66000000
Single’s Inferno: Season 2 // ????: ?? 2;65900000
The Witcher: Blood Origin: Limited Series;65300000
The Nurse: Limited Series // Sygeplejersken: Miniserie;65200000
The Watcher: Season 1;64400000
Jumanji: The Next Level;64300000
Suits (2011): Season 4;64200000
Gilmore Girls: Season 6;63900000
The Tailor: Season 1 // Terzi: 1. Sezon;63900000
All American: Season 5;63700000
Peppa Pig: Season 2;63700000
DAHMER: Monster: The Jeffrey Dahmer Story;63500000
The Blacklist: Season 3;63500000
Narvik;63100000
Home (2015);62800000
The Sea Beast;62700000
The Walking Dead: Season 4;62300000
Harry & Meghan: Limited Series;62000000
The Walking Dead: Season 5;62000000
My Dad the Bounty Hunter: Season 1;61800000
Dog Gone;61600000
Maid: Limited Series;61500000
Pasión de Gavilanes: Season 2;61500000
A Man Called Otto;61300000
Peaky Blinders: Season 1;61100000
Victorious: Season 1;61100000
Never Have I Ever: Season 1;61000000
THE DAYS: Limited Series;60800000
Eva Lasting: Season 1 // La primera vez: Temporada 1;60600000
Unseen: Season 1;60100000
Narcos: Season 1;59900000
The Walking Dead: Season 6;59800000
MADOFF: The Monster of Wall Street: Limited Series;59600000
